airline_name,avg_seat_comfort,avg_cabin_staff_service,avg_food_beverages,avg_ground_service,avg_inflight_entertainment,avg_wifi_connectivity,avg_value_for_money
NAM Air,2.076923076923077,2.5384615384615383,2.170334217506631,2.8461538461538463,1.8461538461538463,1,2.5384615384615383
British Airways,2.4571024400504835,2.7722965469832372,2.3151813793103444,2.03,2.28,1.32,1.81
Azur Air Germany,1,1.5,1.5,1,1.5,1,1
Nordica,3.3333333333333335,4,1.8511954022988506,3.6666666666666665,1.6666666666666667,1,3
Uganda Airlines,4,4,3.3107172413793102,3.2,1.8,1,3.2
Lucky Air,2.81574914357834,2.8899506711891036,2.6173596059113295,1,1.7142857142857142,1,2.050499240637219
Ariana Afghan Airlines,3,4,3,3,2,1,5
Privilege Style,2.5384615384615383,3.3846153846153846,2.9656604774535813,2.8461538461538463,1.5384615384615385,1.2307692307692308,3.230769230769231
SpiceJet,2.1203886201093813,2.4220252762942196,2.2957213793103435,1.89,1.77,1.15,1.84
Shaheen Air,3.5515311667367833,4.155967426365607,3.8794655172413797,2.1666666666666665,1.25,1.1666666666666667,4.037597074568348
Batik Air,2.953286180058898,2.9110126381471098,2.3717889655172413,2.51,2.24,1.03,2.73
Tianjin Airlines,3.14911653344552,3.849547882184972,2.673811494252874,2.7333333333333334,2.066666666666667,1,3.8666666666666667
Germanwings,3.1685512200252424,2.9561482734916185,2.0353586206896552,1.5,0.98,1,3.0945116489482016
TUS Airways,4.5,5,4,5,2,1,5
Titan Airways,3.6666666666666665,4.029053637212909,3.314289655172414,3.566666666666667,2.2333333333333334,1.4666666666666666,3.7
Alliance Air,2.290341466834946,2.170042127157034,2.2208436781609198,1.7,1.7333333333333334,1,1.8333333333333333
Auric Air,3,5,2.5535862068965516,5,2,1,5
Tigerair,2.6809187000420693,3.0035804558193644,2.2955441379310324,2.4,1.77,1.02,2.94
Jetstar Airways,1.6380211400925533,2.0820252762942197,1.91250620689655,1.42,1.74,1.06,1.43
Israir Airlines,2.3963482505959903,2.6590564574409963,2.2901896551724144,1.2083333333333333,1.8333333333333333,1,2.2819780592626095
AirAsia X,2.808021140092553,3.244593093966474,2.9826834482758606,2.83,1.94,1.06,3.13
SkyUp Airlines,1.6666666666666667,2.3333333333333335,1,1.6666666666666667,1,1,2.3333333333333335
Luxair,2.8512611167095456,3.027334896756281,2.872308740978342,1.6744186046511629,1.9069767441860466,1,2.698216230148921
Okay Airways,2.9045935002103493,1.967902279096822,2.3883965517241377,1,0.75,1,4.25
Eurowings,2.158021140092553,2.2345930939664735,2.1046496551724116,1.42,1.73,1,1.56
Hi Fly,3.227272727272727,3.3181818181818183,3.2321442006269594,3.090909090909091,2.590909090909091,1.1818181818181819,3.1818181818181817
Canaryfly,3.1030623334735665,3.8119348527312145,2.8511954022988504,3.1666666666666665,2,1,3.6666666666666665
Adria Airways,3.094979011312623,3.214355154654447,2.5887048124289462,1.879120879120879,1.901098901098901,1.098901098901099,2.829389701002459
Jin Air,3.14275610012621,4.080741367458094,2.8267931034482765,3,1.85,1,3.9
Air Malta,2.435653660075726,2.398444820474856,2.0494682758620693,1.89,1.7,1.06,2.15
Air Labrador,3,4,0,1,0,1,4
Malindo Air,2.134593500210349,2.2079022790968215,2.1000082758620677,1.45,1.73,1.02,1.65
Motor Sich Airlines,2.6666666666666665,3.6666666666666665,3.1845287356321834,3.6666666666666665,2,1,4
AirSWIFT,2.25,2.75,2.5535862068965516,3,2,1,2.75
Airnorth,2.556672923206369,2.7159548980446875,2.264427055702918,2.230769230769231,1.5,1,2.4019678805700067
ATA Airlines,1,1.5,1.5,1.5,2,1,2
Malawian Airlines,2.4166666666666665,3.25,3.305063218390804,2.25,2,1,2.4166666666666665
Suparna Airlines,4,4,1,3,1,1,3
PLAY,3.0847349600336553,3.6248643646554917,2.669113793103447,2.98,1.73,1.04,3.18
Felix Airways,3.3091870004206987,3.435804558193644,2.5535862068965516,3,2,1,3
Jetstar Pacific,2.126572360117794,2.422025276294219,2.051257241379309,1.56,1.5,1.01,2.06
Egyptair,2.3609187000420695,2.36101263814711,2.3851813793103442,1.82,2.13,1.12,2.01
Go First,1.6756536600757255,1.7958770028026014,1.8912572413793092,1.35,1.61,1.01,1.32
LC Perú,2.659767714405914,3.195944159483898,2.586738916256157,2,2.0714285714285716,1,2.4285714285714284
Somon Air,3.3333333333333335,3,2.3333333333333335,1.6666666666666667,1.3333333333333333,1,3
